Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Marginable Securities,Non-Marginable Securities
"Margin Account -3058",5478.40,379.92,5.84,-42.03,-.65,494.59,2633.16,789.95


View Summary - Dividend
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Qty #,Desc,

Symbol,Last Price $,Value $,Change $,Change %,% of Portfolio,Qty #,Cost/Share,Day's Gain $,Total Gain $,Total Gain %,YTD Gain %,Dividend Yield %,Est. Annual Income,Ex-Div Date,Dividend Pay Date,Dividend
     09/04/2025,56.54,2.3181,0.13,0.23,.0423,.0410,54.6341,.0053,.0781,3.4884,3.4884,10.7782,.2200,09/02/2025,09/04/2025,.4420
     09/04/2025,56.54,.0565,0.13,0.23,.0010,.0010,20.0000,.0001,.0365,182.7000,182.7000,10.7782,.0100,09/02/2025,09/04/2025,.4420
CSCO,66.53,338.7708,-1.16,-1.71,6.1838,5.0920,65.3869,-5.9067,5.8208,1.7482,1.4600,2.4228,8.3500,10/03/2025,10/22/2025,.4100
     12/30/2022,66.53,4.2579,-1.16,-1.71,.0777,.0640,47.5000,-.0742,1.2179,40.0632,12.3818,2.4228,.1000,10/03/2025,10/22/2025,.4100
     04/26/2023,66.53,.0665,-1.16,-1.71,.0012,.0010,30.0000,-.0012,.0365,121.7667,12.3818,2.4228,.0000,10/03/2025,10/22/2025,.4100
     07/26/2023,66.53,.0665,-1.16,-1.71,.0012,.0010,30.0000,-.0012,.0365,121.7667,12.3818,2.4228,.0000,10/03/2025,10/22/2025,.4100
     10/25/2023,66.53,.0665,-1.16,-1.71,.0012,.0010,30.0000,-.0012,.0365,121.7667,12.3818,2.4228,.0000,10/03/2025,10/22/2025,.4100
     01/24/2024,66.53,.0665,-1.16,-1.71,.0012,.0010,30.0000,-.0012,.0365,121.7667,12.3818,2.4228,.0000,10/03/2025,10/22/2025,.4100
     04/24/2024,66.53,.0665,-1.16,-1.71,.0012,.0010,30.0000,-.0012,.0365,121.7667,12.3818,2.4228,.0000,10/03/2025,10/22/2025,.4100
     07/24/2024,66.53,.0665,-1.16,-1.71,.0012,.0010,30.0000,-.0012,.0365,121.7667,12.3818,2.4228,.0000,10/03/2025,10/22/2025,.4100
     10/23/2024,66.53,.0665,-1.16,-1.71,.0012,.0010,30.0000,-.0012,.0365,121.7667,12.3818,2.4228,.0000,10/03/2025,10/22/2025,.4100
     01/22/2025,66.53,.0665,-1.16,-1.71,.0012,.0010,30.0000,-.0012,.0365,121.7667,121.7667,2.4228,.0000,10/03/2025,10/22/2025,.4100
     04/23/2025,66.53,.0665,-1.16,-1.71,.0012,.0010,30.0000,-.0012,.0365,121.7667,121.7667,2.4228,.0000,10/03/2025,10/22/2025,.4100
     05/20/2025,66.53,66.5300,-1.16,-1.71,1.2144,1.0000,63.3000,-1.1600,3.2300,5.1027,5.1027,2.4228,1.6400,10/03/2025,10/22/2025,.4100
     06/17/2025,66.53,66.5300,-1.16,-1.71,1.2144,1.0000,65.3000,-1.1600,1.2300,1.8836,1.8836,2.4228,1.6400,10/03/2025,10/22/2025,.4100
     06/20/2025,66.53,66.5300,-1.16,-1.71,1.2144,1.0000,66.1500,-1.1600,.3800,.5745,.5745,2.4228,1.6400,10/03/2025,10/22/2025,.4100
     07/23/2025,66.53,1.2641,-1.16,-1.71,.0231,.0190,66.3158,-.0220,.0041,.3230,.3230,2.4228,.0300,10/03/2025,10/22/2025,.4100
     09/05/2025,66.53,66.5300,-1.16,-1.71,1.2144,1.0000,66.8000,-1.1600,-.2700,-.4042,-.4042,2.4228,1.6400,10/03/2025,10/22/2025,.4100
     09/05/2025,66.53,66.5300,-1.16,-1.71,1.2144,1.0000,66.8300,-1.1600,-.3000,-.4489,-.4489,2.4228,1.6400,10/03/2025,10/22/2025,.4100
NEE,71.66,360.8798,0.34,0.48,6.5873,5.0360,71.5866,1.7122,.3698,.1026,.0300,3.1772,11.4100,08/28/2025,09/15/2025,.5665
     12/22/2022,71.66,.8599,0.34,0.48,.0157,.0120,86.6667,.0041,-.1801,-17.3154,-.0418,3.1772,.0300,08/28/2025,09/15/2025,.5665
     06/15/2023,71.66,.0717,0.34,0.48,.0013,.0010,10.0000,.0003,.0617,616.6000,-.0418,3.1772,.0000,08/28/2025,09/15/2025,.5665
     09/15/2023,71.66,.0717,0.34,0.48,.0013,.0010,10.0000,.0003,.0617,616.6000,-.0418,3.1772,.0000,08/28/2025,09/15/2025,.5665
     12/15/2023,71.66,.0717,0.34,0.48,.0013,.0010,10.0000,.0003,.0617,616.6000,-.0418,3.1772,.0000,08/28/2025,09/15/2025,.5665
     03/15/2024,71.66,.0717,0.34,0.48,.0013,.0010,10.0000,.0003,.0617,616.6000,-.0418,3.1772,.0000,08/28/2025,09/15/2025,.5665
     06/17/2024,71.66,.0717,0.34,0.48,.0013,.0010,10.0000,.0003,.0617,616.6000,-.0418,3.1772,.0000,08/28/2025,09/15/2025,.5665
     09/16/2024,71.66,.0717,0.34,0.48,.0013,.0010,10.0000,.0003,.0617,616.6000,-.0418,3.1772,.0000,08/28/2025,09/15/2025,.5665
     12/16/2024,71.66,.0717,0.34,0.48,.0013,.0010,10.0000,.0003,.0617,616.6000,-.0418,3.1772,.0000,08/28/2025,09/15/2025,.5665
     03/17/2025,71.66,.0717,0.34,0.48,.0013,.0010,10.0000,.0003,.0617,616.6000,616.6000,3.1772,.0000,08/28/2025,09/15/2025,.5665
     05/20/2025,71.66,71.6600,0.34,0.48,1.3080,1.0000,74.1800,.3400,-2.5200,-3.3971,-3.3971,3.1772,2.2700,08/28/2025,09/15/2025,.5665
